meter_id,region
144-000-952,Central
705-001-631,Central
588-002-235,Central
906-003-840,Central
172-004-159,Central
584-005-274,Central
694-006-406,Central
392-007-445,Central
987-008-269,Central
950-009-176,Central
731-000-178,North
316-001-981,North
870-002-334,North
697-003-782,North
322-004-605,North
608-005-273,North
314-006-921,North
804-007-878,North
404-008-866,North
454-009-302,North
146-000-767,East
814-001-469,East
176-002-217,East
607-003-197,East
381-004-664,East
820-005-543,East
827-006-194,East
430-007-519,East
874-008-925,East
733-009-593,East
966-000-285,South
441-001-620,South
418-002-610,South
452-003-550,South
325-004-430,South
732-005-172,South
273-006-884,South
674-007-886,South
599-008-871,South
174-009-179,South
407-000-925,West
124-001-914,West
732-002-290,West
819-003-812,West
807-004-414,West
521-005-491,West
576-006-712,West
711-007-493,West
561-008-877,West
279-009-190,West
